Col0,Col1,Col2,Col3,Col4,Col5
2020-03-30,21:39,08:44,11.08,88,56
2020-03-31,21:41,07:51,10.17,91,57
2020-04-01,21:02,06:03,9.02,88,0
2020-04-02,21:02,05:03,8.02,91,0
2020-04-03,21:10,07:53,10.7,92,0
2020-04-04,21:18,08:25,11.12,89,0
2020-04-05,21:45,06:28,8.7,97,0
2020-04-10,22:56,07:30,8.57,93,58
2020-04-11,22:05,06:21,8.27,91,58
2020-04-12,21:29,07:46,10.28,92,57
2020-04-13,21:29,07:03,9.57,95,56
2020-04-14,21:44,08:03,10.32,91,57
2020-04-15,21:09,07:10,10.02,93,57
2020-04-16,21:13,06:51,9.62,96,57
2020-04-17,21:22,06:01,8.65,92,57
2020-04-18,21:26,07:17,9.85,88,56
2020-04-19,22:10,06:58,8.8,96,56
2020-04-20,21:46,05:56,8.17,93,57
2020-04-21,21:04,07:53,10.82,91,56
2020-04-22,21:16,08:02,10.75,94,55
2020-04-23,21:32,07:42,10.17,90,56
2020-04-24,21:43,07:11,9.47,90,57
2020-04-25,21:47,07:50,10.05,86,57
2020-04-26,20:50,07:34,10.73,87,55
2020-04-27,21:51,07:26,9.57,86,55
2020-04-28,21:35,06:31,8.93,87,57
2020-04-29,21:28,07:03,9.57,90,57
2020-04-30,21:43,06:38,8.9,93,57
2020-05-01,21:04,07:38,10.57,88,55
2020-05-02,21:47,09:11,11.4,88,56
2020-05-03,21:32,07:31,9.98,93,57
2020-05-04,21:50,07:23,9.55,91,57
2020-05-05,21:20,06:58,9.62,89,57
2020-05-06,21:23,07:14,9.85,93,57
2020-05-07,22:33,06:45,8.2,89,58
2020-05-08,21:15,07:19,10.07,91,57
2020-05-09,21:22,08:15,10.88,93,56
2020-05-10,22:10,08:33,10.38,88,55
2020-05-11,22:20,06:29,8.15,91,54
2020-05-12,21:50,07:19,9.48,88,55
2020-05-13,22:04,07:09,9.08,95,56
2020-05-14,21:49,06:50,9.0,92,56
2020-05-14,12:35,13:58,1.38,98,57
2020-05-15,22:07,07:38,9.5,94,56
2020-05-16,21:36,07:00,9.4,92,56
2020-05-17,21:30,07:37,10.12,98,55
2020-05-18,23:19,07:22,8.03,90,55
2020-05-19,23:16,07:55,8.65,93,54
2020-05-20,22:05,07:46,9.68,87,54
2020-05-21,21:47,08:01,10.23,91,55
2020-05-22,22:02,08:01,9.98,92,56
2020-05-23,22:00,08:17,10.28,93,54
2020-05-24,21:29,07:39,10.15,92,54
2020-05-25,22:23,07:18,8.92,96,55
2020-05-26,21:27,08:06,10.65,90,55
2020-05-27,21:41,07:39,9.95,88,55
2020-05-28,21:30,07:41,10.18,91,55
2020-05-29,21:30,06:13,8.72,92,53
2020-05-30,21:02,07:38,10.6,92,54
2020-05-31,21:39,07:50,10.18,91,54
2020-06-01,22:16,08:08,9.87,93,54
2020-06-02,21:47,07:03,9.27,93,55
2020-06-03,21:26,07:14,9.8,93,56
2020-06-04,21:46,07:13,9.45,91,57
2020-06-05,21:27,07:17,9.83,94,57
2020-06-06,21:24,09:15,11.83,91,57
2020-06-07,22:47,08:54,10.12,93,56
2020-06-08,21:51,07:59,10.13,92,56
2020-06-09,21:44,05:47,8.05,100,56
2020-06-10,21:41,08:31,10.82,89,55
2020-06-11,21:43,08:29,10.77,91,57
2020-06-12,21:42,07:45,10.05,92,58
2020-06-13,21:38,08:04,10.43,94,57
2020-06-14,22:07,07:26,9.32,91,56
2020-06-15,21:00,07:41,10.68,93,55
2020-06-16,21:28,07:50,10.35,90,55
2020-06-17,21:46,06:49,9.05,89,54
2020-06-18,21:45,07:13,9.45,89,55
2020-06-19,21:31,07:24,9.88,84,55
2020-06-20,21:11,07:34,10.37,90,55
2020-06-21,21:54,07:20,9.43,91,55
2020-06-22,21:50,08:24,10.57,90,55
2020-06-23,21:56,08:21,10.4,88,56
2020-06-24,21:39,08:44,11.08,87,55
2020-06-25,22:06,07:55,9.82,92,55
2020-06-26,22:25,08:20,9.9,90,55
2020-06-28,21:48,07:15,9.45,92,55
